Ref Name,Qty,Component,Value,Package,MPN,Description
J2,1,2WP,,DSC,,2 way Pin Header
J3,1,4WP,,DSC,,4 way Pin Header
J4,1,6-Pin-small-Header,,SIP,,
PL1,1,26WDP,,DSC,,Dual 13w Pin Header
C31,1,0603YC104KATDA,10uF,SM0603,GRM188C80G106KE47D,"Capacitor, Surface Mount Multi-Layer Ceramic"
C1,1,0603YC104KATDA,10uF,SM0603,GRM188C80G106KE47D,"Capacitor, Surface Mount Multi-Layer Ceramic"
C8,1,0603YC104KATDA,10uF,SM0603,GRM188C80G106KE47D,"Capacitor, Surface Mount Multi-Layer Ceramic"
C25,1,06033G104ZATDA,10uF,SM0603,GRM188C80G106KE47D,"Capacitor, Surface Mount Multi-Layer Ceramic"
C33,1,06033G104ZATDA,10uF,SM0603,GRM188C80G106KE47D,"Capacitor, Surface Mount Multi-Layer Ceramic"
U6,1,ADS1299,,TQFP-64,ADS1299,
U8,1,ATmega328P-AU,,QFP32,ATmega328P-AU,
B1,1,BATT,,SM,,JST BATTERY CONNECTOR
C5,1,C,.1uF,EIA_0402,CC0402KRX7R7BB104,Capacitor
C24,1,C,.1uF,EIA_0402,CC0402KRX7R7BB104,Capacitor
C13,1,C,.1uF,EIA_0402,CC0402KRX7R7BB104,Capacitor
C30,1,C,.1uF,EIA_0402,CC0402KRX7R7BB104,Capacitor
C10,1,C,.1uF,EIA_0402,CC0402KRX7R7BB104,Capacitor
C12,1,C,.1uF,EIA_0402,CC0402KRX7R7BB104,Capacitor
C15,1,C,0.1uF,EIA_0402,CC0402KRX7R7BB104,Capacitor
C27,1,C,0.1uF,402,CC0402KRX7R7BB104,Capacitor
C26,1,C,0.1uF,402,CC0402KRX7R7BB104,Capacitor
C46,1,C,0.1uF,402,CC0402KRX7R7BB104,Capacitor
C32,1,C,0.01uF,EIA_0402,CC0402KRX7R7BB103,Capacitor
C38,1,C,0.01uF,EIA_0402,CC0402KRX7R7BB103,Capacitor
C16,1,C,1nF,EIA_0402,CC0402KRX7R7BB102,Capacitor
C19,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C21,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C18,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C6,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C7,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C22,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C14,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C17,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C29,1,C,1uF,EIA_0402,CC0402KRX7R5BB105,Capacitor
C34,1,C,2.2uF,EIA_0402,GRM155R61C225KE44D,Capacitor
C37,1,C,2.2uF,EIA_0402,GRM155R61C225KE44D,Capacitor
C45,1,C,2.2uF,EIA_0402,GRM155R61C225KE44D,Capacitor
C43,1,C,2.2uF,EIA_0402,GRM155R61C225KE44D,Capacitor
C36,1,C,2.2uF,EIA_0402,GRM155R61C225KE44D,Capacitor
C44,1,C,2.2uF,EIA_0402,GRM155R61C225KE44D,Capacitor
